title;text_cleaning;title_preprocessing;target_class
Elizabeth Blackwell: Girl Doctor (Childhood of Famous Americans);elizabeth blackwell girl doctor childhood famous american;['elizabeth', 'blackwell', 'girl', 'doctor', 'childhood', 'famous', 'american'];general
Axel y Keira (Spanish Edition);axel keira spanish edition;['axel', 'keira', 'spanish', 'edition'];general
Outstanding Women Athletes: Who They Are and How They Influenced Sports In America;outstanding woman athlete influenced sport america;['outstanding', 'woman', 'athlete', 'influenced', 'sport', 'america'];general
Understanding and Managing Diversity: Readings, Cases, and Exercises (6th Edition);understanding managing diversity reading case exercise th edition;['understanding', 'managing', 'diversity', 'reading', 'case', 'exercise', 'th', 'edition'];general
Mosaic Basics: Everything You Need to Know to Start Making Beautiful Mosaics;mosaic basic everything need know start making beautiful mosaic;['mosaic', 'basic', 'everything', 'need', 'know', 'start', 'making', 'beautiful', 'mosaic'];social-humanaria
The Lord of the Rings 1954-2004: Scholarship in Honor of Richard E. Blackwelder;lord ring scholarship honor richard e blackwelder;['lord', 'ring', 'scholarship', 'honor', 'richard', 'e', 'blackwelder'];general
Intermarriage and Conversion: A Halakhic Solution;intermarriage conversion halakhic solution;['intermarriage', 'conversion', 'halakhic', 'solution'];general
Kamachatka: A Journal & Guide to Russia's Land of Ice and Fire (Odyssey Illustrated Guides);kamachatka journal guide russia land ice fire odyssey illustrated guide;['kamachatka', 'journal', 'guide', 'russia', 'land', 'ice', 'fire', 'odyssey', 'illustrated', 'guide'];general
Dead Reckoning: Memories of the 1971 Bangladesh War;dead reckoning memory bangladesh war;['dead', 'reckoning', 'memory', 'bangladesh', 'war'];sains-tech
Sustaining the Earth;sustaining earth;['sustaining', 'earth'];sains-tech
Illinois Evidence Rules Courtroom Quick Reference: 2015;illinois evidence rule courtroom quick reference;['illinois', 'evidence', 'rule', 'courtroom', 'quick', 'reference'];general
Archaeology and the Bible: 50 Old Testament Finds (pamphlet) (Recent Release--Archaelogy and the Bible: Old Testament);archaeology bible old testament find pamphlet recent releasearchaelogy bible old testament;['archaeology', 'bible', 'old', 'testament', 'find', 'pamphlet', 'recent', 'releasearchaelogy', 'bible', 'old', 'testament'];general
R for Medicine and Biology (Jones and Bartlett Series in Biomedical Informatics);r medicine biology jones bartlett series biomedical informatics;['r', 'medicine', 'biology', 'jones', 'bartlett', 'series', 'biomedical', 'informatics'];sains-tech
Social Change and Development: Modernization, Dependency and World-System Theories (SAGE Library of Social Research);social change development modernization dependency worldsystem theory sage library social research;['social', 'change', 'development', 'modernization', 'dependency', 'worldsystem', 'theory', 'sage', 'library', 'social', 'research'];sains-tech
Crazy Horse's Girlfriend;crazy horse girlfriend;['crazy', 'horse', 'girlfriend'];general
The Lost Tribe of Coney Island: Headhunters, Luna Park, and the Man Who Pulled Off the Spectacle of the Century;lost tribe coney island headhunter luna park man pulled spectacle century;['lost', 'tribe', 'coney', 'island', 'headhunter', 'luna', 'park', 'man', 'pulled', 'spectacle', 'century'];general
Buddhist Art: An Historical and Cultural Journey;buddhist art historical cultural journey;['buddhist', 'art', 'historical', 'cultural', 'journey'];social-humanaria
Shadow Fall (Tracers);shadow fall tracer;['shadow', 'fall', 'tracer'];general
The Judy Moody Uber-Awesome Collection: Books 1-9;judy moody uberawesome collection book;['judy', 'moody', 'uberawesome', 'collection', 'book'];general
The WPA Guide to 1930s Iowa;wpa guide iowa;['wpa', 'guide', 'iowa'];general
Health Education and Health Promotion: Learner-Centered Instructional Strategies;health education health promotion learnercentered instructional strategy;['health', 'education', 'health', 'promotion', 'learnercentered', 'instructional', 'strategy'];sains-tech
The Trust Company;trust company;['trust', 'company'];general
The Atlas of Discus of the World;atlas discus world;['atlas', 'discus', 'world'];general
1013A /Organic Chemistry Set for Student (HGS Polyhedron Molecular Model);organic chemistry set student hg polyhedron molecular model;['organic', 'chemistry', 'set', 'student', 'hg', 'polyhedron', 'molecular', 'model'];sains-tech
Textbook of Biochemistry with Clinical Correlations;textbook biochemistry clinical correlation;['textbook', 'biochemistry', 'clinical', 'correlation'];sains-tech
The Diabetes Fast-Fix Slow-Cooker Cookbook: Fresh Twists on Family Favorites;diabetes fastfix slowcooker cookbook fresh twist family favorite;['diabetes', 'fastfix', 'slowcooker', 'cookbook', 'fresh', 'twist', 'family', 'favorite'];general
The First King of Hollywood: The Life of Douglas Fairbanks;first king hollywood life douglas fairbanks;['first', 'king', 'hollywood', 'life', 'douglas', 'fairbanks'];general
Extending Microsoft Dynamics AX 2012 Cookbook;extending microsoft dynamic ax cookbook;['extending', 'microsoft', 'dynamic', 'ax', 'cookbook'];general
Me Against My Brother: At War in Somalia, Sudan and Rwanda;brother war somalia sudan rwanda;['brother', 'war', 'somalia', 'sudan', 'rwanda'];social-humanaria
The Dirt on Sex: A Dateable Book (Dirt, The);dirt sex dateable book dirt;['dirt', 'sex', 'dateable', 'book', 'dirt'];general
Linchpin: Are You Indispensable?;linchpin indispensable;['linchpin', 'indispensable'];general
The LPGA: The Unauthorized Version : The History of the Ladies Professional Golf Association;lpga unauthorized version history lady professional golf association;['lpga', 'unauthorized', 'version', 'history', 'lady', 'professional', 'golf', 'association'];social-humanaria
Moroccan Arabic: Lonely Planet Phrasebook;moroccan arabic lonely planet phrasebook;['moroccan', 'arabic', 'lonely', 'planet', 'phrasebook'];general
If You Give a Pig a Party;give pig party;['give', 'pig', 'party'];social-humanaria
Re-Imaging Election: Divine Election as Representing God to Others & Others to God;reimaging election divine election representing god others others god;['reimaging', 'election', 'divine', 'election', 'representing', 'god', 'others', 'others', 'god'];general
Sign of a Promise and Other Stories (Mandate Series);sign promise story mandate series;['sign', 'promise', 'story', 'mandate', 'series'];general
GED Exercise Books: Student Workbook Language Arts, Reading;ged exercise book student workbook language art reading;['ged', 'exercise', 'book', 'student', 'workbook', 'language', 'art', 'reading'];social-humanaria
Genetic Methods for Diverse Prokaryotes, Volume 29 (Methods in Microbiology);genetic method diverse prokaryote volume method microbiology;['genetic', 'method', 'diverse', 'prokaryote', 'volume', 'method', 'microbiology'];sains-tech
The Time Keeper;time keeper;['time', 'keeper'];general
FLAWD: How to Stop Hating on Yourself, Others, and the Things That Make You Who You Are;flawd stop hating others thing make;['flawd', 'stop', 'hating', 'others', 'thing', 'make'];social-humanaria
Pathfinder Pawns: Giantslayer Pawn Collection;pathfinder pawn giantslayer pawn collection;['pathfinder', 'pawn', 'giantslayer', 'pawn', 'collection'];general
Principles of Microeconomics;principle microeconomics;['principle', 'microeconomics'];social-humanaria
The Rosen Method of Movement;rosen method movement;['rosen', 'method', 'movement'];general
Tall Ships 2011 Square 12X12 Wall Calendar;tall ship square x wall calendar;['tall', 'ship', 'square', 'x', 'wall', 'calendar'];general
Garden Gnomes: A History (Shire Library);garden gnome history shire library;['garden', 'gnome', 'history', 'shire', 'library'];social-humanaria
Negotiation: Processes for Problem Solving (Aspen Casebook);negotiation process problem solving aspen casebook;['negotiation', 'process', 'problem', 'solving', 'aspen', 'casebook'];general
Laos 1:600,000 Travel Map, waterproof, GPS-compatible, REISE, 2013 edition;lao travel map waterproof gpscompatible reise edition;['lao', 'travel', 'map', 'waterproof', 'gpscompatible', 'reise', 'edition'];general
The Bible, Rocks and Time: Geological Evidence for the Age of the Earth;bible rock time geological evidence age earth;['bible', 'rock', 'time', 'geological', 'evidence', 'age', 'earth'];sains-tech
Research Methods in Applied Behavior Analysis;research method applied behavior analysis;['research', 'method', 'applied', 'behavior', 'analysis'];sains-tech
Beyond the Beat: Musicians Building Community in Nashville;beyond beat musician building community nashville;['beyond', 'beat', 'musician', 'building', 'community', 'nashville'];general
Rare Earth Minerals: Chemistry, Origin and Ore Deposits (The Mineralogical Society Series);rare earth mineral chemistry origin ore deposit mineralogical society series;['rare', 'earth', 'mineral', 'chemistry', 'origin', 'ore', 'deposit', 'mineralogical', 'society', 'series'];sains-tech
Baby Bear, Baby Bear, What Do You See? Board Book (Brown Bear and Friends);baby bear baby bear see board book brown bear friend;['baby', 'bear', 'baby', 'bear', 'see', 'board', 'book', 'brown', 'bear', 'friend'];general
Soldier Dead: How We Recover, Identify, Bury, and Honor Our Military Fallen;soldier dead recover identify bury honor military fallen;['soldier', 'dead', 'recover', 'identify', 'bury', 'honor', 'military', 'fallen'];general
Making the Social World: The Structure of Human Civilization;making social world structure human civilization;['making', 'social', 'world', 'structure', 'human', 'civilization'];social-humanaria
Robert Adams: The New West;robert adam new west;['robert', 'adam', 'new', 'west'];general
The Grand Design: A Novel;grand design novel;['grand', 'design', 'novel'];social-humanaria
Sonic / Mega Man: Worlds Collide: The Complete Epic;sonic mega man world collide complete epic;['sonic', 'mega', 'man', 'world', 'collide', 'complete', 'epic'];general
Gandhi's Ascetic Activism: Renunciation and Social Action;gandhi ascetic activism renunciation social action;['gandhi', 'ascetic', 'activism', 'renunciation', 'social', 'action'];social-humanaria
One Man Out: Curt Flood versus Baseball (Landmark Law Cases and American Society);one man curt flood versus baseball landmark law case american society;['one', 'man', 'curt', 'flood', 'versus', 'baseball', 'landmark', 'law', 'case', 'american', 'society'];social-humanaria
So, Anyway...;anyway;['anyway'];general
Growth Hacker Marketing: A Primer on the Future of PR, Marketing, and Advertising;growth hacker marketing primer future pr marketing advertising;['growth', 'hacker', 'marketing', 'primer', 'future', 'pr', 'marketing', 'advertising'];social-humanaria
Technical Sourcebook for Designers;technical sourcebook designer;['technical', 'sourcebook', 'designer'];social-humanaria
More Christmas on Stage: An Anthology of Royalty-Free Christmas Plays;christmas stage anthology royaltyfree christmas play;['christmas', 'stage', 'anthology', 'royaltyfree', 'christmas', 'play'];general
Pharmacology For The Prehospital Professional: Revised Edition;pharmacology prehospital professional revised edition;['pharmacology', 'prehospital', 'professional', 'revised', 'edition'];sains-tech
Adventures of the Iditarod Air Force;adventure iditarod air force;['adventure', 'iditarod', 'air', 'force'];general
Mable Hoffman's Crockery Cookery, Revised Edition;mable hoffman crockery cookery revised edition;['mable', 'hoffman', 'crockery', 'cookery', 'revised', 'edition'];general
A Wrinkle in Time: The Graphic Novel;wrinkle time graphic novel;['wrinkle', 'time', 'graphic', 'novel'];social-humanaria
Avant-Guide Las Vegas: Insiders' Guide to Progressive Culture (Avant Guides);avantguide la vega insider guide progressive culture avant guide;['avantguide', 'la', 'vega', 'insider', 'guide', 'progressive', 'culture', 'avant', 'guide'];social-humanaria
A Guide to the Decoration of Leather - A Collection of Historical Articles on Stamping, Burning, Mosaics and Other Aspects of Leather Decoration;guide decoration leather collection historical article stamping burning mosaic aspect leather decoration;['guide', 'decoration', 'leather', 'collection', 'historical', 'article', 'stamping', 'burning', 'mosaic', 'aspect', 'leather', 'decoration'];social-humanaria
Healing Lupus: Steps in a Personal Journey;healing lupus step personal journey;['healing', 'lupus', 'step', 'personal', 'journey'];general
Mastering Public Speaking (8th Edition);mastering public speaking th edition;['mastering', 'public', 'speaking', 'th', 'edition'];general
Every Parent: A Positive Approach to Children's Behavior;every parent positive approach childrens behavior;['every', 'parent', 'positive', 'approach', 'childrens', 'behavior'];general
